"JARAS_NEV","MEGYE_NEV","EV","LAKAS","SZJA","MUNKA","BERUHAZAS","CSOK","X","Y","CSOKTREND","MEGYE_SZH","BALATON","BUNOZES","SERTETT","PEDAGOGUS","ORVOS","GYORVOS","ATLAGAR","HO_SZAM","HGYO_SZAM","HO_APOLO_SZAM","HO_SZOLG_SZAM","HGYO_SZOLG_SZAM","FHO_SZOLG_SZAM","FGYHO_SZOLG_SZAM","HO_HELY_SZOLG_SZAM","HGYO_HELY_SZOLG_SZAM","HO_TMED_SZAM","HGYO_TMED_SZAMA","HO_FORG_OSSZ","HGYO_FORG_OSSZ","HGYO_FORG_RB","HGYO_FORG_RK","HO_FORG_RB","HO_FORG_RK","VEDONO"
"Ajkai","Veszprém",2012,5.33807829,828.82472933,58.2,296,0,17.5637117220818,47.0898690827194,"nincs",0,0,4598.37315709,3179.9694967,10.54826255,NA,NA,7.21806062,4.34182969811514,1.53241048168769,5.10803493895898,4.59723144506308,1.53241048168769,2.80941921642744,1.78781222863564,0.255401746947949,NA,NA,NA,61501.506870307,8933.69770649231,8750.06385043674,183.633856055575,58068.3965878327,3433.11028247433,5.36343668590693
"Ajkai","Veszprém",2013,1.02645693,853.70071188,60.6,361,0,17.5637117220818,47.0898690827194,"nincs",0,0,2553.31160666,1721.88149555,10.05555556,NA,NA,6.79125397,4.64108910891089,1.5470297029703,4.89892739273927,4.64108910891089,1.5470297029703,2.83622112211221,1.80486798679868,NA,NA,NA,NA,58843.079620462,9532.02351485149,9314.66584158416,217.357673267327,56317.553630363,2525.52599009901,5.41460396039604
"Ajkai","Veszprém",2014,1.03573278,924.92639335,64.5,460,0,17.5637117220818,47.0898690827194,"nincs",0,0,2084.41222165,1600.20714656,9.75357143,NA,NA,6.66005787,4.68067401705846,1.56022467235282,5.20074890784273,4.68067401705846,1.56022467235282,2.8604118993135,1.82026211774496,NA,NA,NA,NA,58519.866860828,9439.35926773455,9250.05200748908,189.307260245475,56375.5980861244,2144.26877470356,5.46078635323487
"Ajkai","Veszprém",2015,2.87386352,992.70963846,67.3,587,0,17.5637117220818,47.0898690827194,"nincs",0,0,1653.77782422,1157.38321664,9.57092199,12679.72222222,6317,6.81408301,4.72490550188996,1.57496850062999,5.24989500209996,4.72490550188996,1.57496850062999,2.88744225115498,1.83746325073499,NA,NA,NA,NA,59910.4892902142,9949.07601847963,9760.34229315414,188.733725325493,58019.7396052079,1890.7496850063,5.51238975220496
"Ajkai","Veszprém",2016,1.58084022,1096.58881371,69,534,90,17.5637117220818,47.0898690827194,"magas",0,0,1559.76234702,1198.8038309,9.44982699,12459.16666667,7250.54545455,7.3472814,4.76026763282469,1.32229656467352,5.2891862586941,4.76026763282469,1.58675587760823,2.90905244228175,1.85121519054294,NA,0.264459312934705,NA,NA,59308.9678153016,10546.1084812102,10422.0770634438,124.031417766377,57695.237087774,1613.73072752757,5.55364557162881
"Ajkai","Veszprém",2017,1.85445201,1262.94422046,71.7,504,76,17.5637117220818,47.0898690827194,"alacsony",0,0,1303.41484091,980.21034784,9.40780142,12737.37142857,6854.90909091,8.47080673,4.51155754889732,1.59231442902258,5.57310050157905,4.77694328706775,1.59231442902258,2.91924311987474,1.85770016719302,0.265385738170431,NA,NA,NA,59155.5425811417,10005.5731005016,9734.87964756774,270.693452933839,57950.6913298479,1204.85125129376,5.57310050157905
"Ajkai","Veszprém",2018,3.98787685,1415.51594188,70.6,556,66,17.5637117220818,47.0898690827194,"nincs",0,0,1002.28638273,688.57340352,9.40357143,13338.17647059,5982,10.23158097,4.52765866780302,1.59799717687165,5.59299011905079,4.79399153061496,1.59799717687165,2.92966149093137,1.8643300396836,0.266332862811942,NA,NA,NA,60390.7103097451,9559.21911204624,9300.87623511865,258.342876927584,59395.1580685541,995.552241191041,5.59299011905079
"Ajkai","Veszprém",2019,10.13117202,1583.04928046,71.8,642,67,17.5637117220818,47.0898690827194,"alacsony",0,0,882.47840461,565.21275461,9.46014493,13147.02857143,6397.8,13.15259748,4.80397128292722,1.06754917398383,5.33774586991913,4.80397128292722,1.33443646747978,2.93576022845552,1.8682110544717,NA,0.266887293495957,NA,NA,61403.5602764952,8537.45763164216,8334.89017587873,202.567455763431,60384.0508153407,1019.50946115455,5.60463316341509
"Ajkai","Veszprém",2020,12.91642,1629.36981814,74.2,707,71,17.5637117220818,47.0898690827194,"alacsony",0,0,877.24019159,621.60271245,9.566787,12855.65714286,6082.66666667,13.47340567,4.61267127933795,1.35666802333469,5.15533848867182,4.88400488400488,1.35666802333469,2.98466965133632,1.89933523266857,0.271333604666938,NA,NA,NA,61043.0063763397,7426.94342694343,7213.13254646588,213.810880477547,59917.7859177859,1125.22045855379,5.6980056980057
"Ajkai","Veszprém",2021,5.71801993,1830.70935791,74.9,846,55,17.5637117220818,47.0898690827194,"nincs",0,0,906.71458912,645.31939226,9.67753623,13287.94117647,7110.8,16.99301057,4.64518949640681,1.36623220482553,5.73817526026724,4.91843593737191,1.36623220482553,3.00571085061617,1.91272508675574,0.273246440965106,NA,5211.08287564554,2.73246440965106,66936.0876574583,9717.73642648304,9690.13853594557,24.8654261278247,61231.2484629888,493.756318823947,6.01142170123234
"Aszódi","Pest",2012,15.62268522,767.80602245,58.9,286,0,19.5071478166514,47.6572852907857,"nincs",0,0,3423.52291552,2100.98180496,11.78,NA,NA,8.14575779,4.59558823529412,1.6219723183391,4.59558823529412,4.59558823529412,1.6219723183391,3.2439446366782,1.35164359861592,NA,NA,NA,NA,50415.2249134948,13854.0765570934,12818.4472318339,1035.62932525952,46169.9826989619,4245.24221453287,4.59558823529412
